,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
2486,fly5,fly1,0,30,31,,
1406,fly1,fly5,0,36,37,,
756,fly2,fly10,0,13,14,,
716,fly2,fly5,0,21,22,,
620,fly2,fly6,6,43,38,,
1746,fly6,fly10,9,23,15,,
1496,fly6,fly2,11,29,19,,
2051,fly7,fly9,14,31,18,,
1323,fly1,fly2,31,73,43,,
2629,fly8,fly3,31,53,23,,
600,fly2,fly1,36,72,37,,
1362,fly1,fly6,44,64,21,,
1694,fly6,fly5,44,74,31,,
1569,fly6,fly12,44,105,62,,
1422,fly1,fly10,46,245,200,,
2983,fly10,fly1,49,387,339,,
2156,fly7,fly11,49,89,41,,
1858,fly4,fly11,50,93,44,,
919,fly11,fly4,50,67,18,,
2466,fly5,fly12,56,100,45,,
2272,fly7,fly4,56,116,61,,
1943,fly4,fly7,56,89,34,,
1612,fly6,fly1,61,75,15,,
1497,fly6,fly2,71,101,31,,
2420,fly5,fly2,73,89,17,,
1246,fly12,fly5,81,100,20,,
1695,fly6,fly5,85,101,17,,
571,fly2,fly12,88,113,26,,
1164,fly12,fly6,90,151,62,,
1100,fly12,fly2,98,186,89,,
1944,fly4,fly7,101,122,22,,
621,fly2,fly6,104,143,40,,
1696,fly6,fly5,110,153,44,,
2765,fly8,fly4,112,270,159,,
2005,fly4,fly8,112,269,158,,
2157,fly7,fly11,131,147,17,,
2495,fly5,fly6,141,176,36,,
572,fly2,fly12,151,174,24,,
1498,fly6,fly2,170,192,23,,
1165,fly12,fly6,173,199,27,,
472,fly3,fly8,190,509,320,,
2158,fly7,fly11,201,219,19,,
1570,fly6,fly12,204,220,17,,
1166,fly12,fly6,217,251,35,,
1128,fly12,fly11,218,240,23,,
2421,fly5,fly2,219,234,16,,
881,fly11,fly6,223,242,20,,
717,fly2,fly5,229,256,28,,
1652,fly6,fly7,230,245,16,,
852,fly11,fly12,233,249,17,,
980,fly11,fly5,243,273,31,,
1571,fly6,fly12,245,273,29,,
2467,fly5,fly12,248,279,32,,
112,fly9,fly1,250,403,154,,
1529,fly6,fly11,250,292,43,,
2438,fly5,fly11,260,307,48,,
1697,fly6,fly5,263,290,28,,
2496,fly5,fly6,263,292,30,,
2191,fly7,fly12,272,287,16,,
2422,fly5,fly2,274,291,18,,
1302,fly1,fly9,283,391,109,,
718,fly2,fly5,286,303,18,,
2216,fly7,fly1,294,307,14,,
1391,fly1,fly7,295,313,19,,
824,fly11,fly2,302,360,59,,
981,fly11,fly5,303,372,70,,
2423,fly5,fly2,308,328,21,,
882,fly11,fly6,311,374,64,,
1530,fly6,fly11,318,378,61,,
622,fly2,fly6,326,392,67,,
719,fly2,fly5,329,380,52,,
545,fly2,fly11,330,344,15,,
1653,fly6,fly7,331,345,15,,
2301,fly7,fly5,335,385,51,,
2231,fly7,fly6,339,375,37,,
947,fly11,fly7,342,378,37,,
2159,fly7,fly11,342,367,26,,
2119,fly7,fly2,348,379,32,,
678,fly2,fly7,349,415,67,,
1499,fly6,fly2,360,382,23,,
546,fly2,fly11,362,383,22,,
1654,fly6,fly7,391,413,23,,
2232,fly7,fly6,392,413,22,,
2424,fly5,fly2,398,411,14,,
3041,fly10,fly4,416,438,23,,
948,fly11,fly7,420,436,17,,
1531,fly6,fly11,422,438,17,,
2120,fly7,fly2,426,439,14,,
2233,fly7,fly6,429,447,19,,
1655,fly6,fly7,431,448,18,,
2160,fly7,fly11,432,447,16,,
2439,fly5,fly11,450,492,43,,
679,fly2,fly7,451,474,24,,
2497,fly5,fly6,458,499,42,,
2302,fly7,fly5,459,480,22,,
2547,fly5,fly7,459,487,29,,
949,fly11,fly7,463,486,24,,
1303,fly1,fly9,469,507,39,,
883,fly11,fly6,470,486,17,,
1698,fly6,fly5,472,497,26,,
1532,fly6,fly11,473,489,17,,
623,fly2,fly6,483,507,25,,
113,fly9,fly1,487,509,23,,
2161,fly7,fly11,495,509,15,,
2234,fly7,fly6,498,515,18,,
2303,fly7,fly5,501,523,23,,
982,fly11,fly5,501,523,23,,
2548,fly5,fly7,510,574,65,,
1699,fly6,fly5,510,600,91,,
473,fly3,fly8,520,546,27,,
2440,fly5,fly11,525,538,14,,
2498,fly5,fly6,530,573,44,,
2847,fly8,fly10,535,558,24,,
1834,fly4,fly2,538,588,51,,
1572,fly6,fly12,545,576,32,,
884,fly11,fly6,545,559,15,,
950,fly11,fly7,546,575,30,,
1533,fly6,fly11,546,600,55,,
2441,fly5,fly11,552,574,23,,
1247,fly12,fly5,571,597,27,,
885,fly11,fly6,578,591,14,,
2235,fly7,fly6,601,620,20,,
983,fly11,fly5,601,632,32,,
2304,fly7,fly5,601,623,23,,
853,fly11,fly12,601,633,33,,
1656,fly6,fly7,603,623,21,,
1573,fly6,fly12,611,693,83,,
1700,fly6,fly5,614,675,62,,
2468,fly5,fly12,617,642,26,,
1129,fly12,fly11,626,770,145,,
1032,fly11,fly10,628,745,118,,
1248,fly12,fly5,632,649,18,,
1167,fly12,fly6,635,768,134,,
1534,fly6,fly11,635,697,63,,
782,fly11,fly9,641,662,22,,
1747,fly6,fly10,643,729,87,,
242,fly9,fly10,643,677,35,,
1249,fly12,fly5,657,677,21,,
1288,fly12,fly10,669,770,102,,
783,fly11,fly9,678,742,65,,
2869,fly10,fly9,681,701,21,,
2595,fly5,fly10,683,783,101,,
2388,fly5,fly9,683,703,21,,
2499,fly5,fly6,683,727,45,,
2469,fly5,fly12,683,774,92,,
2442,fly5,fly11,683,761,79,,
243,fly9,fly10,684,703,20,,
886,fly11,fly6,686,735,50,,
1442,fly6,fly9,691,739,49,,
2192,fly7,fly12,696,749,54,,
2870,fly10,fly9,703,811,109,,
2389,fly5,fly9,708,765,58,,
3004,fly10,fly6,713,811,99,,
1250,fly12,fly5,719,766,48,,
680,fly2,fly7,738,774,37,,
2939,fly10,fly11,738,804,67,,
784,fly11,fly9,745,821,77,,
1443,fly6,fly9,746,810,65,,
720,fly2,fly5,746,770,25,,
887,fly11,fly6,759,772,14,,
573,fly2,fly12,763,777,15,,
2443,fly5,fly11,769,786,18,,
2305,fly7,fly5,771,804,34,,
2121,fly7,fly2,772,846,75,,
2500,fly5,fly6,773,799,27,,
1535,fly6,fly11,781,794,14,,
721,fly2,fly5,787,829,43,,
681,fly2,fly7,787,829,43,,
2425,fly5,fly2,787,800,14,,
757,fly2,fly10,789,829,41,,
888,fly11,fly6,791,815,25,,
624,fly2,fly6,793,829,37,,
547,fly2,fly11,795,829,35,,
127,fly9,fly6,799,864,66,,
2426,fly5,fly2,806,820,15,,
1033,fly11,fly10,808,821,14,,
244,fly9,fly10,809,856,48,,
2306,fly7,fly5,811,831,21,,
1444,fly6,fly9,812,858,47,,
1748,fly6,fly10,812,879,68,,
1574,fly6,fly12,813,827,15,,
1536,fly6,fly11,813,834,22,,
951,fly11,fly7,822,882,61,,
1251,fly12,fly5,822,985,164,,
1101,fly12,fly2,822,852,31,,
29,fly9,fly2,823,938,116,,
194,fly9,fly5,823,888,66,,
2549,fly5,fly7,825,867,43,,
2470,fly5,fly12,826,882,57,,
1057,fly12,fly9,829,943,115,,
1289,fly12,fly10,829,1035,207,,
2444,fly5,fly11,829,925,97,,
60,fly9,fly11,829,880,52,,
1130,fly12,fly11,829,1008,180,,
2390,fly5,fly9,830,902,73,,
170,fly9,fly7,834,885,52,,
85,fly9,fly12,837,880,44,,
854,fly11,fly12,842,861,20,,
1102,fly12,fly2,855,892,38,,
2596,fly5,fly10,855,895,41,,
2162,fly7,fly11,857,916,60,,
2193,fly7,fly12,857,1019,163,,
2052,fly7,fly9,857,890,34,,
3005,fly10,fly6,862,957,96,,
2501,fly5,fly6,868,881,14,,
984,fly11,fly5,869,882,14,,
2427,fly5,fly2,870,912,43,,
825,fly11,fly2,872,888,17,,
2907,fly10,fly2,883,1037,155,,
855,fly11,fly12,889,1007,119,,
952,fly11,fly7,889,903,15,,
1537,fly6,fly11,891,952,62,,
1500,fly6,fly2,891,907,17,,
1445,fly6,fly9,891,907,17,,
2471,fly5,fly12,896,938,43,,
1907,fly4,fly1,897,924,28,,
2597,fly5,fly10,898,913,16,,
2363,fly7,fly10,902,918,17,,
1749,fly6,fly10,902,957,56,,
2502,fly5,fly6,906,922,17,,
1701,fly6,fly5,906,968,63,,
245,fly9,fly10,908,931,24,,
2307,fly7,fly5,913,930,18,,
1501,fly6,fly2,917,1004,88,,
2940,fly10,fly11,917,949,33,,
195,fly9,fly5,918,943,26,,
86,fly9,fly12,919,943,25,,
2550,fly5,fly7,924,939,16,,
3087,fly10,fly5,929,975,47,,
2598,fly5,fly10,930,962,33,,
758,fly2,fly10,937,1015,79,,
722,fly2,fly5,947,982,36,,
1538,fly6,fly11,954,990,37,,
246,fly9,fly10,963,1015,53,,
196,fly9,fly5,964,1020,57,,
2965,fly10,fly12,969,1031,63,,
1103,fly12,fly2,970,1034,65,,
500,fly2,fly9,971,1007,37,,
574,fly2,fly12,972,1002,31,,
2871,fly10,fly9,973,1027,55,,
1058,fly12,fly9,973,1021,49,,
682,fly2,fly7,975,1004,30,,
1446,fly6,fly9,975,1025,51,,
3063,fly10,fly7,978,1023,46,,
2391,fly5,fly9,984,1018,35,,
3006,fly10,fly6,984,1032,49,,
2599,fly5,fly10,985,1007,23,,
1750,fly6,fly10,985,1032,48,,
2472,fly5,fly12,987,1055,69,,
2551,fly5,fly7,988,1055,68,,
826,fly11,fly2,990,1024,35,,
458,fly3,fly5,992,1010,19,,
1168,fly12,fly6,998,1011,14,,
171,fly9,fly7,1000,1036,37,,
625,fly2,fly6,1001,1015,15,,
431,fly3,fly7,1006,1029,24,,
2411,fly5,fly3,1008,1035,28,,
87,fly9,fly12,1014,1031,18,,
335,fly3,fly12,1015,1029,15,,
0,fly9,fly3,1017,1135,119,,
575,fly2,fly12,1019,1033,15,,
2392,fly5,fly9,1020,1104,85,,
2600,fly5,fly10,1024,1055,32,,
548,fly2,fly11,1036,1057,22,,
626,fly2,fly6,1037,1061,25,,
2966,fly10,fly12,1045,1062,18,,
1539,fly6,fly11,1048,1116,69,,
2941,fly10,fly11,1053,1135,83,,
1290,fly12,fly10,1053,1135,83,,
889,fly11,fly6,1054,1119,66,,
827,fly11,fly2,1054,1093,40,,
1131,fly12,fly11,1055,1135,81,,
197,fly9,fly5,1055,1112,58,,
172,fly9,fly7,1056,1113,58,,
247,fly9,fly10,1056,1077,22,,
88,fly9,fly12,1057,1077,21,,
2053,fly7,fly9,1064,1135,72,,
2308,fly7,fly5,1064,1135,72,,
2364,fly7,fly10,1064,1078,15,,
2723,fly8,fly1,1066,1196,131,,
3007,fly10,fly6,1070,1135,66,,
1751,fly6,fly10,1074,1122,49,,
2122,fly7,fly2,1083,1136,54,,
549,fly2,fly11,1088,1169,82,,
30,fly9,fly2,1092,1108,17,,
759,fly2,fly10,1094,1136,43,,
2081,fly7,fly3,1095,1136,42,,
261,fly3,fly9,1100,1115,16,,
2393,fly5,fly9,1107,1147,41,,
576,fly2,fly12,1114,1204,91,,
1908,fly4,fly1,1120,1339,220,,
627,fly2,fly6,1126,1141,16,,
890,fly11,fly6,1132,1233,102,,
198,fly9,fly5,1135,1157,23,,
514,fly2,fly3,1136,1221,86,,
315,fly3,fly11,1137,1339,203,,
173,fly9,fly7,1137,1223,87,,
2942,fly10,fly11,1137,1151,15,,
372,fly3,fly6,1137,1183,47,,
31,fly9,fly2,1145,1186,42,,
1132,fly12,fly11,1149,1386,238,,
2309,fly7,fly5,1149,1203,55,,
2872,fly10,fly9,1149,1189,41,,
3088,fly10,fly5,1149,1189,41,,
248,fly9,fly10,1149,1232,84,,
1076,fly12,fly3,1149,1802,654,,
2908,fly10,fly2,1149,1189,41,,
2601,fly5,fly10,1160,1193,34,,
2394,fly5,fly9,1160,1231,72,,
3064,fly10,fly7,1163,1189,27,,
760,fly2,fly10,1170,1214,45,,
683,fly2,fly7,1171,1193,23,,
1104,fly12,fly2,1176,1248,73,,
550,fly2,fly11,1189,1229,41,,
2892,fly10,fly3,1190,1237,48,,
2967,fly10,fly12,1190,1277,88,,
2943,fly10,fly11,1195,1213,19,,
288,fly3,fly2,1197,1499,303,,
373,fly3,fly6,1200,1476,277,,
628,fly2,fly6,1210,1251,42,,
828,fly11,fly2,1212,1306,95,,
2944,fly10,fly11,1226,1243,18,,
1169,fly12,fly6,1231,1479,249,,
1502,fly6,fly2,1232,1469,238,,
3008,fly10,fly6,1234,1277,44,,
1540,fly6,fly11,1243,1262,20,,
174,fly9,fly7,1247,1261,15,,
249,fly9,fly10,1247,1416,170,,
1105,fly12,fly2,1251,1279,29,,
2194,fly7,fly12,1253,1279,27,,
2082,fly7,fly3,1254,1289,36,,
2236,fly7,fly6,1255,1289,35,,
2163,fly7,fly11,1255,1289,35,,
2123,fly7,fly2,1257,1289,33,,
199,fly9,fly5,1258,1487,230,,
1657,fly6,fly7,1261,1280,20,,
1223,fly12,fly7,1261,1281,21,,
953,fly11,fly7,1261,1293,33,,
2365,fly7,fly10,1267,1285,19,,
2873,fly10,fly9,1278,1378,101,,
1541,fly6,fly11,1282,1413,132,,
1380,fly1,fly4,1284,1337,54,,
2006,fly4,fly8,1287,1342,56,,
3089,fly10,fly5,1289,1381,93,,
336,fly3,fly12,1301,1314,14,,
2395,fly5,fly9,1304,1324,21,,
1106,fly12,fly2,1305,1665,361,,
1,fly9,fly3,1310,1337,28,,
1465,fly6,fly3,1311,1335,25,,
551,fly2,fly11,1334,1385,52,,
829,fly11,fly2,1337,1354,18,,
2766,fly8,fly4,1340,1354,15,,
2335,fly7,fly8,1347,1360,14,,
1466,fly6,fly3,1355,1415,61,,
2473,fly5,fly12,1357,1414,58,,
2724,fly8,fly1,1358,1382,25,,
2602,fly5,fly10,1358,1371,14,,
2503,fly5,fly6,1360,1373,14,,
920,fly11,fly4,1367,1400,34,,
657,fly2,fly4,1368,1445,78,,
2603,fly5,fly10,1378,1394,17,,
1629,fly6,fly4,1379,1455,77,,
2412,fly5,fly3,1380,1410,31,,
2445,fly5,fly11,1384,1427,44,,
830,fly11,fly2,1386,1455,70,,
403,fly3,fly4,1391,1499,109,,
891,fly11,fly6,1398,1480,83,,
1196,fly12,fly4,1400,1724,325,,
799,fly11,fly3,1400,1473,74,,
61,fly9,fly11,1401,1517,117,,
856,fly11,fly12,1401,2010,610,,
3090,fly10,fly5,1407,1436,30,,
2396,fly5,fly9,1408,1659,252,,
921,fly11,fly4,1411,1996,586,,
337,fly3,fly12,1429,1499,71,,
1835,fly4,fly2,1432,1639,208,,
2446,fly5,fly11,1437,1510,74,,
1467,fly6,fly3,1439,1477,39,,
831,fly11,fly2,1458,1653,196,,
1921,fly4,fly6,1467,1480,14,,
2083,fly7,fly3,1469,1493,25,,
1804,fly4,fly3,1470,1948,479,,
316,fly3,fly11,1472,1497,26,,
2237,fly7,fly6,1476,1496,21,,
800,fly11,fly3,1478,1588,111,,
2164,fly7,fly11,1483,1512,30,,
2552,fly5,fly7,1491,1505,15,,
89,fly9,fly12,1493,1527,35,,
2084,fly7,fly3,1497,1518,22,,
2273,fly7,fly4,1498,1624,127,,
2195,fly7,fly12,1498,1619,122,,
2124,fly7,fly2,1499,1624,126,,
175,fly9,fly7,1503,1516,14,,
1224,fly12,fly7,1515,1629,115,,
1945,fly4,fly7,1518,1539,22,,
317,fly3,fly11,1519,1802,284,,
432,fly3,fly7,1523,1649,127,,
2165,fly7,fly11,1523,1544,22,,
1752,fly6,fly10,1526,1565,40,,
200,fly9,fly5,1530,1547,18,,
515,fly2,fly3,1533,1614,82,,
2085,fly7,fly3,1538,1567,30,,
2166,fly7,fly11,1554,1575,22,,
1946,fly4,fly7,1554,1586,33,,
2086,fly7,fly3,1577,1590,14,,
338,fly3,fly12,1590,1802,213,,
1947,fly4,fly7,1597,1637,41,,
801,fly11,fly3,1597,1813,217,,
2087,fly7,fly3,1600,1629,30,,
62,fly9,fly11,1608,1665,58,,
404,fly3,fly4,1612,1802,191,,
90,fly9,fly12,1612,1629,18,,
289,fly3,fly2,1612,1701,90,,
684,fly2,fly7,1615,1629,15,,
516,fly2,fly3,1616,1701,86,,
176,fly9,fly7,1619,1659,41,,
2167,fly7,fly11,1630,1646,17,,
2054,fly7,fly9,1630,1664,35,,
91,fly9,fly12,1658,1677,20,,
685,fly2,fly7,1676,1708,33,,
1225,fly12,fly7,1681,1802,122,,
1948,fly4,fly7,1682,1735,54,,
2125,fly7,fly2,1683,1709,27,,
2168,fly7,fly11,1684,1783,100,,
63,fly9,fly11,1686,1701,16,,
2196,fly7,fly12,1686,1707,22,,
2055,fly7,fly9,1686,1703,18,,
658,fly2,fly4,1687,1707,21,,
32,fly9,fly2,1687,1703,17,,
2,fly9,fly3,1692,1710,19,,
177,fly9,fly7,1692,1707,16,,
433,fly3,fly7,1704,1802,99,,
1783,fly4,fly9,1705,1724,20,,
954,fly11,fly7,1726,1768,43,,
1197,fly12,fly4,1726,1795,70,,
3009,fly10,fly6,1733,1766,34,,
1949,fly4,fly7,1737,1776,40,,
1753,fly6,fly10,1738,1763,26,,
3,fly9,fly3,1762,1799,38,,
2274,fly7,fly4,1784,1811,28,,
2088,fly7,fly3,1784,1829,46,,
1133,fly12,fly11,1803,2013,211,,
2616,fly8,fly9,1816,1836,21,,
262,fly3,fly9,1823,1978,156,,
2197,fly7,fly12,1830,1849,20,,
2169,fly7,fly11,1830,1863,34,,
221,fly9,fly8,1831,1916,86,,
802,fly11,fly3,1835,1908,74,,
2089,fly7,fly3,1864,2002,139,,
1950,fly4,fly7,1867,1995,129,,
2056,fly7,fly9,1867,1920,54,,
1784,fly4,fly9,1870,1898,29,,
2275,fly7,fly4,1885,1957,73,,
955,fly11,fly7,1893,1931,39,,
803,fly11,fly3,1913,1926,14,,
2504,fly5,fly6,1919,1968,50,,
1702,fly6,fly5,1919,1937,19,,
474,fly3,fly8,1923,1996,74,,
2336,fly7,fly8,1925,1995,71,,
2198,fly7,fly12,1926,1941,16,,
956,fly11,fly7,1934,1985,52,,
2057,fly7,fly9,1943,1987,45,,
1859,fly4,fly11,1945,1964,20,,
552,fly2,fly11,1949,2010,62,,
2428,fly5,fly2,1955,2021,67,,
1785,fly4,fly9,1959,2042,84,,
804,fly11,fly3,1960,1974,15,,
1107,fly12,fly2,1960,2069,110,,
2617,fly8,fly9,1962,2009,48,,
434,fly3,fly7,1967,2038,72,,
2505,fly5,fly6,1973,1987,15,,
1542,fly6,fly11,1986,2023,38,,
892,fly11,fly6,1986,2018,33,,
1503,fly6,fly2,1986,2042,57,,
577,fly2,fly12,1988,2021,34,,
1922,fly4,fly6,1989,2013,25,,
832,fly11,fly2,1990,2016,27,,
1575,fly6,fly12,1990,2017,28,,
405,fly3,fly4,1992,2073,82,,
222,fly9,fly8,1998,2114,117,,
2007,fly4,fly8,2006,2049,44,,
2447,fly5,fly11,2007,2185,179,,
985,fly11,fly5,2009,2036,28,,
374,fly3,fly6,2018,2065,48,,
475,fly3,fly8,2019,2100,82,,
339,fly3,fly12,2022,2077,56,,
1951,fly4,fly7,2025,2078,54,,
1077,fly12,fly3,2025,2060,36,,
290,fly3,fly2,2026,2040,15,,
2796,fly8,fly7,2026,2040,15,,
92,fly9,fly12,2026,2151,126,,
1884,fly4,fly12,2030,2051,22,,
1805,fly4,fly3,2030,2079,50,,
1170,fly12,fly6,2041,2081,41,,
1836,fly4,fly2,2043,2086,44,,
629,fly2,fly6,2045,2066,22,,
1923,fly4,fly6,2046,2127,82,,
986,fly11,fly5,2047,2185,139,,
1198,fly12,fly4,2050,2081,32,,
2797,fly8,fly7,2051,2148,98,,
1576,fly6,fly12,2055,2174,120,,
1716,fly6,fly8,2055,2174,120,,
1630,fly6,fly4,2055,2082,28,,
1658,fly6,fly7,2055,2155,101,,
128,fly9,fly6,2055,2068,14,,
148,fly9,fly4,2055,2102,48,,
1885,fly4,fly12,2056,2073,18,,
1468,fly6,fly3,2061,2156,96,,
1504,fly6,fly2,2064,2096,33,,
578,fly2,fly12,2064,2077,14,,
735,fly2,fly8,2064,2079,16,,
1059,fly12,fly9,2066,2081,16,,
686,fly2,fly7,2068,2133,66,,
435,fly3,fly7,2078,2128,51,,
4,fly9,fly3,2078,2200,123,,
1263,fly12,fly8,2082,2226,145,,
1631,fly6,fly4,2084,2140,57,,
2630,fly8,fly3,2087,2148,62,,
2646,fly8,fly2,2091,2114,24,,
1078,fly12,fly3,2099,2232,134,,
1837,fly4,fly2,2099,2119,21,,
129,fly9,fly6,2099,2175,77,,
1447,fly6,fly9,2100,2174,75,,
1226,fly12,fly7,2101,2132,32,,
2767,fly8,fly4,2102,2151,50,,
659,fly2,fly4,2103,2175,73,,
1886,fly4,fly12,2107,2130,24,,
2008,fly4,fly8,2108,2149,42,,
1806,fly4,fly3,2109,2153,45,,
476,fly3,fly8,2115,2135,21,,
517,fly2,fly3,2117,2136,20,,
1952,fly4,fly7,2122,2157,36,,
1171,fly12,fly6,2127,2189,63,,
178,fly9,fly7,2128,2174,47,,
1060,fly12,fly9,2130,2220,91,,
436,fly3,fly7,2132,2194,63,,
1108,fly12,fly2,2134,2276,143,,
630,fly2,fly6,2135,2155,21,,
2734,fly8,fly6,2138,2184,47,,
518,fly2,fly3,2139,2185,47,,
223,fly9,fly8,2139,2200,62,,
2647,fly8,fly2,2141,2170,30,,
736,fly2,fly8,2142,2185,44,,
579,fly2,fly12,2145,2183,39,,
406,fly3,fly4,2146,2176,31,,
33,fly9,fly2,2148,2200,53,,
2276,fly7,fly4,2149,2176,28,,
501,fly2,fly9,2149,2185,37,,
687,fly2,fly7,2151,2183,33,,
1505,fly6,fly2,2153,2174,22,,
2238,fly7,fly6,2155,2176,22,,
2768,fly8,fly4,2156,2192,37,,
2631,fly8,fly3,2158,2195,38,,
2798,fly8,fly7,2160,2189,30,,
1953,fly4,fly7,2162,2178,17,,
2648,fly8,fly2,2172,2185,14,,
1659,fly6,fly7,2175,2197,23,,
1469,fly6,fly3,2175,2217,43,,
1632,fly6,fly4,2175,2209,35,,
1954,fly4,fly7,2182,2213,32,,
1506,fly6,fly2,2183,2217,35,,
1717,fly6,fly8,2184,2217,34,,
785,fly11,fly9,2185,2201,17,,
631,fly2,fly6,2186,2201,16,,
1002,fly11,fly8,2188,2201,14,,
1172,fly12,fly6,2191,2276,86,,
1577,fly6,fly12,2196,2217,22,,
580,fly2,fly12,2197,2218,22,,
93,fly9,fly12,2201,2218,18,,
201,fly9,fly5,2201,2223,23,,
553,fly2,fly11,2205,2218,14,,
64,fly9,fly11,2214,2278,65,,
519,fly2,fly3,2219,2233,15,,
737,fly2,fly8,2219,2238,20,,
1955,fly4,fly7,2222,2318,97,,
554,fly2,fly11,2222,2238,17,,
1199,fly12,fly4,2222,2276,55,,
1660,fly6,fly7,2226,2279,54,,
1633,fly6,fly4,2226,2273,48,,
224,fly9,fly8,2227,2331,105,,
5,fly9,fly3,2229,2262,34,,
1061,fly12,fly9,2229,2276,48,,
34,fly9,fly2,2229,2301,73,,
2632,fly8,fly3,2235,2257,23,,
987,fly11,fly5,2235,2279,45,,
2474,fly5,fly12,2237,2314,78,,
502,fly2,fly9,2239,2252,14,,
581,fly2,fly12,2239,2253,15,,
723,fly2,fly5,2239,2299,61,,
2506,fly5,fly6,2239,2287,49,,
786,fly11,fly9,2240,2254,15,,
555,fly2,fly11,2245,2282,38,,
857,fly11,fly12,2246,2268,23,,
2618,fly8,fly9,2246,2368,123,,
2649,fly8,fly2,2247,2310,64,,
2695,fly8,fly12,2254,2295,42,,
2826,fly8,fly5,2255,2276,22,,
1264,fly12,fly8,2259,2276,18,,
1448,fly6,fly9,2263,2288,26,,
291,fly3,fly2,2263,2288,26,,
477,fly3,fly8,2264,2287,24,,
318,fly3,fly11,2265,2288,24,,
2735,fly8,fly6,2265,2279,15,,
459,fly3,fly5,2267,2325,59,,
582,fly2,fly12,2268,2302,35,,
632,fly2,fly6,2275,2301,27,,
1252,fly12,fly5,2277,2315,39,,
1134,fly12,fly11,2277,2298,22,,
202,fly9,fly5,2278,2294,17,,
1109,fly12,fly2,2279,2297,19,,
1634,fly6,fly4,2279,2325,47,,
2736,fly8,fly6,2282,2365,84,,
805,fly11,fly3,2283,2310,28,,
1661,fly6,fly7,2285,2351,67,,
988,fly11,fly5,2290,2310,21,,
1786,fly4,fly9,2299,2322,24,,
1924,fly4,fly6,2300,2339,40,,
2058,fly7,fly9,2302,2354,53,,
2633,fly8,fly3,2302,2317,16,,
520,fly2,fly3,2308,2329,22,,
130,fly9,fly6,2310,2331,22,,
2769,fly8,fly4,2310,2360,51,,
2009,fly4,fly8,2311,2341,31,,
2799,fly8,fly7,2311,2362,52,,
2337,fly7,fly8,2311,2361,51,,
724,fly2,fly5,2313,2329,17,,
149,fly9,fly4,2313,2331,19,,
1449,fly6,fly9,2313,2368,56,,
2239,fly7,fly6,2317,2357,41,,
1807,fly4,fly3,2319,2362,44,,
1980,fly4,fly5,2322,2364,43,,
1173,fly12,fly6,2324,2337,14,,
1079,fly12,fly3,2324,2390,67,,
2475,fly5,fly12,2324,2378,55,,
2827,fly8,fly5,2324,2340,17,,
1200,fly12,fly4,2324,2359,36,,
1253,fly12,fly5,2324,2391,68,,
460,fly3,fly5,2328,2380,53,,
340,fly3,fly12,2328,2379,52,,
738,fly2,fly8,2330,2346,17,,
556,fly2,fly11,2330,2346,17,,
1887,fly4,fly12,2340,2358,19,,
1838,fly4,fly2,2341,2354,14,,
2277,fly7,fly4,2343,2362,20,,
633,fly2,fly6,2347,2379,33,,
521,fly2,fly3,2347,2360,14,,
660,fly2,fly4,2347,2374,28,,
725,fly2,fly5,2347,2370,24,,
1003,fly11,fly8,2348,2365,18,,
833,fly11,fly2,2348,2374,27,,
806,fly11,fly3,2348,2531,184,,
922,fly11,fly4,2349,2381,33,,
2310,fly7,fly5,2352,2385,34,,
1227,fly12,fly7,2352,2385,34,,
2090,fly7,fly3,2356,2375,20,,
688,fly2,fly7,2356,2372,17,,
2199,fly7,fly12,2357,2385,29,,
1718,fly6,fly8,2357,2451,95,,
437,fly3,fly7,2357,2383,27,,
739,fly2,fly8,2360,2385,26,,
375,fly3,fly6,2360,2385,26,,
225,fly9,fly8,2360,2389,30,,
1925,fly4,fly6,2361,2385,25,,
1787,fly4,fly9,2363,2385,23,,
407,fly3,fly4,2363,2385,23,,
478,fly3,fly8,2365,2385,21,,
35,fly9,fly2,2367,2387,21,,
150,fly9,fly4,2367,2390,24,,
1635,fly6,fly4,2368,2385,18,,
263,fly3,fly9,2368,2385,18,,
1507,fly6,fly2,2369,2385,17,,
957,fly11,fly7,2370,2409,40,,
131,fly9,fly6,2370,2390,21,,
6,fly9,fly3,2370,2441,72,,
179,fly9,fly7,2372,2409,38,,
203,fly9,fly5,2373,2480,108,,
2650,fly8,fly2,2375,2403,29,,
2010,fly4,fly8,2379,2403,25,,
989,fly11,fly5,2380,2618,239,,
661,fly2,fly4,2386,2403,18,,
689,fly2,fly7,2386,2403,18,,
2278,fly7,fly4,2386,2402,17,,
2170,fly7,fly11,2386,2409,24,,
522,fly2,fly3,2386,2403,18,,
319,fly3,fly11,2386,2448,63,,
634,fly2,fly6,2386,2403,18,,
2126,fly7,fly2,2386,2409,24,,
94,fly9,fly12,2389,2492,104,,
2397,fly5,fly9,2391,2412,22,,
2476,fly5,fly12,2391,2614,224,,
2091,fly7,fly3,2391,2409,19,,
132,fly9,fly6,2403,2422,20,,
2619,fly8,fly9,2404,2424,21,,
1981,fly4,fly5,2404,2453,50,,
1926,fly4,fly6,2404,2484,81,,
1808,fly4,fly3,2404,2502,99,,
1788,fly4,fly9,2404,2486,83,,
893,fly11,fly6,2410,2465,56,,
1662,fly6,fly7,2410,2467,58,,
2338,fly7,fly8,2410,2515,106,,
